表620-67002：按零售商類別劃分的零售業銷貨價值及銷貨價值指數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
 ,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數,零售業銷貨價值,零售業銷貨價值指數,零售業銷貨價值指數
,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率,百萬港元,指數,按年變動百分率
零售商類別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所有零售商類別,204372,61.0,N.A.,219002,65.4,7.2,247000,73.7,12.8,273126,81.5,10.6,274742,82.0,0.6,324966,97.0,18.3,405732,121.1,24.9,445498,132.9,9.8,494451,147.5,11.0,493236,147.2,-0.2,475156,141.8,-3.7,436623,130.3,-8.1,446136,133.1,2.2,485169,144.8,8.7,431160,128.7,-11.1,326451,97.4,-24.3,352948,105.3,8.1,349964,104.4,-0.8,406649,121.3,16.2
食品、酒類飲品及煙草 (超級市場除外),21505,56.0,N.A.,23062,60.0,7.2,24748,64.4,7.3,27604,71.8,11.5,28605,74.5,3.6,31344,81.6,9.6,33613,87.5,7.2,34569,90.0,2.8,35783,93.1,3.5,38132,99.2,6.6,40356,105.0,5.8,41054,106.9,1.7,42353,110.2,3.2,44319,115.4,4.6,42832,111.5,-3.4,37391,97.3,-12.7,36392,94.7,-2.7,36418,94.8,0.1,37932,98.7,4.2
超級市場,27729,48.0,N.A.,28899,50.0,4.2,30603,52.9,5.9,34001,58.8,11.1,35139,60.8,3.3,37094,64.2,5.6,41715,72.2,12.5,45998,79.6,10.3,49131,85.0,6.8,51379,88.9,4.6,52036,90.0,1.3,52450,90.7,0.8,52327,90.5,-0.2,52971,91.6,1.2,53323,92.2,0.7,58496,101.2,9.7,53587,92.7,-8.4,54270,93.9,1.3,51157,88.5,-5.7
燃料,6217,60.5,N.A.,6809,66.3,9.5,6978,67.9,2.5,8610,83.8,23.4,7777,75.7,-9.7,8542,83.2,9.8,9799,95.4,14.7,10127,98.6,3.3,10138,98.7,0.1,9999,97.3,-1.4,8950,87.1,-10.5,8910,86.7,-0.4,9267,90.2,4.0,10063,98.0,8.6,10364,100.9,3.0,10114,98.4,-2.4,11402,111.0,12.7,11571,112.6,1.5,10448,101.7,-9.7
衣物、鞋類及有關製品,27378,81.1,N.A.,28971,85.8,5.8,33565,99.4,15.9,36257,107.4,8.0,35949,106.5,-0.8,42167,124.9,17.3,53985,159.9,28.0,58109,172.2,7.6,62917,186.4,8.3,65507,194.1,4.1,61117,181.1,-6.7,58296,172.7,-4.6,58407,173.0,0.2,62303,184.6,6.7,53518,158.5,-14.1,31539,93.4,-41.1,38243,113.3,21.3,34793,103.1,-9.0,49150,145.6,41.3
